country,Innovation-oriented,Mixed,Neutral,Risk-oriented,Unsure,total_sentences,net_framing_score,mean_framing_score,innovation_to_risk_ratio
Canada,105,27,96,78,0,306,27.0,0.08823529411764706,1.3439490445859872
China,167,8,43,23,0,241,144.0,0.5975103734439834,7.127659574468085
European Union,499,62,429,140,7,1137,359.0,0.31574318381706246,3.5551601423487544
France,130,2,76,6,1,215,124.0,0.5767441860465117,20.076923076923077
Germany,215,31,132,79,5,462,136.0,0.2943722943722944,2.710691823899371
Italy,190,35,134,60,21,440,130.0,0.29545454545454547,3.1487603305785123
Japan,96,22,23,35,0,176,61.0,0.3465909090909091,2.7183098591549295
United Kingdom,233,25,87,19,8,372,214.0,0.5752688172043011,11.974358974358974
United States,167,22,88,101,3,381,66.0,0.1732283464566929,1.6502463054187193
