Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
https://economicfreedom.heritage.org

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Italy,2026,63.3,84.8,60.8,80.9,57.5,15.3,17.2,74.5,70.6,79.1,79.4,80,60
Italy,2025,60.9,82.2,60.6,78.8,57.4,9.5,0,77.6,70.7,74.2,79.6,80,60
Italy,2024,60.1,81.6,60.7,77.7,57,2.5,0,77.6,70.7,74.1,79.2,80,60
Italy,2023,62.3,81.2,77.9,61.1,57.3,13.7,20.4,73.8,70.6,82.6,78.6,80,50
Italy,2022,65.4,81.7,57.3,78.6,57.7,20.6,49,73.8,70.4,86.2,79.2,80,50
Italy,2021,64.9,75.7,63.7,62.3,58.1,28.9,73,68.1,50.5,84.2,84,80,50
Italy,2020,63.8,75.4,62.2,51.3,56,28.5,71.1,70.4,50.9,83.2,86.4,80,50
Italy,2019,62.2,71.7,43.7,49.8,55.6,26.5,71.3,71.7,51.1,84,86,85,50
Italy,2018,62.5,71.2,40.1,60.9,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85,50
Italy,2017,62.5,74.6,44.7,55.4,54.9,22.3,66.9,69.8,52.9,86.9,87,85,50
Italy,2016,61.2,50,43,N/A,55.8,22.1,N/A,70.3,53,84.5,88,85,60
Italy,2015,61.7,55,43,N/A,54.2,23.2,N/A,71.9,55.4,81.2,88,85,60
Italy,2014,60.9,50,38.5,N/A,55.5,25.6,N/A,75.5,52.5,78.9,87.8,85,60
Italy,2013,60.6,50,39,N/A,55.5,25.3,N/A,76.9,52,80.2,86.8,80,60
Italy,2012,58.8,50,39,N/A,55,19.4,N/A,77.4,43,82,87.1,75,60
Italy,2011,60.3,50,43,N/A,55.4,28.6,N/A,77.3,44.4,82.1,87.6,75,60
Italy,2010,62.7,55,48,N/A,55.2,31.2,N/A,77.9,58.2,79,87.5,75,60
Italy,2009,61.4,50,52,N/A,55.8,24.7,N/A,78.7,61.3,80.8,80.8,70,60
Italy,2008,62.6,50,49,N/A,54.3,29.4,N/A,77,74.5,80.6,81,70,60
Italy,2007,62.8,50,50,N/A,52.8,31.5,N/A,77,74.4,80.5,81.6,70,60
Italy,2006,62,50,48,N/A,52,29.1,N/A,78.4,74.6,85.2,82.4,70,50
Italy,2005,64.9,70,53,N/A,49.6,27.4,N/A,70,74.5,84.7,80.2,70,70
Italy,2004,64.2,70,52,N/A,49.7,31.7,N/A,70,N/A,84.8,79.8,70,70
Italy,2003,64.3,70,55,N/A,48,29.4,N/A,70,N/A,84.7,81.4,70,70
Italy,2002,63.6,70,46,N/A,48,33.7,N/A,70,N/A,85.5,79.6,70,70
Italy,2001,63,70,47,N/A,47.1,28,N/A,70,N/A,86.5,78,70,70
Italy,2000,61.9,70,46,N/A,45.6,22,N/A,70,N/A,85.7,77.8,70,70
Italy,1999,61.6,70,50,N/A,46.9,15.1,N/A,70,N/A,84.5,77.8,70,70
Italy,1998,59.1,70,34,N/A,43.3,14.5,N/A,70,N/A,81.9,77.8,70,70
Italy,1997,58.1,70,30,N/A,43.2,10.6,N/A,70,N/A,81.1,77.8,70,70
Italy,1996,60.8,70,90,N/A,42.2,0.1,N/A,70,N/A,77,77.8,70,50
Italy,1995,61.2,70,70,N/A,43.6,3.6,N/A,85,N/A,81.1,77.8,70,50
